"ID","AMBITO_NOMBRE","EMBALSE_NOMBRE","AGUA_TOTAL","ELECTRICO_FLAG"
1,"GUADALQUIVIR","BREÑA, LA",103,0
3,"GUADALQUIVIR","FERNANDINA, LA",247,0
5,"GUADALQUIVIR","PUEBLA DE CAZALLA",87,0
6,"GUADALQUIVIR","PEDRO MARÍN",19,0
9,"CUENCA MEDITERRÁNEA ANDALUZA","VIÑUELA, LA",170,0
11,"CUENCA MEDITERRÁNEA ANDALUZA","RULES",111,0
12,"GUADIANA","BÚRDALO",79,0
14,"GUADIANA","LA CABEZUELA",43,0
18,"MIÑO - SIL","CASTRELO",60,1
19,"MIÑO - SIL","CENZA",40,1
22,"MIÑO - SIL","VILASOUTO",21,0
24,"TAJO","BURGUILLO - PUENTE NUEVO",217,0
26,"TAJO","ENTREPEÑAS",886,0
29,"TAJO","VALDEOBISPO",53,0
32,"SEGURA","TALAVE",35,0
34,"JÚCAR","ARENÓS",137,0
36,"JÚCAR","CORTES II",118,1
38,"JÚCAR","CONTRERAS",874,0
40,"JÚCAR","GUADALEST",13,0
42,"JÚCAR","ULLDECONA",11,0
44,"EBRO","BARASONA",92,0
46,"EBRO","CALANDA",54,0
47,"EBRO","CUEVA FORADADA",29,0
48,"EBRO","CAVALLERS",16,1
50,"EBRO","PUENTE DE SANTOLEA",18,0
51,"EBRO","SAN SALVADOR",137,0
52,"EBRO","URDALUR",6,0
54,"EBRO","SISTEMA LAGOS ESPOT",10,1
55,"EBRO","SOTONERA",189,0
58,"CANTÁBRICO ORIENTAL","ORDUNTE",22,0
60,"GUADALQUIVIR","CALA",59,1
61,"GUADALQUIVIR","CANALES",71,0
64,"GUADALQUIVIR","MALPASILLO ( JAUJA )",6,0
65,"GUADALQUIVIR","QUÉNTAR",14,0
69,"TINTO. ODIEL Y PIEDRAS","PIEDRAS",60,0
70,"TINTO. ODIEL Y PIEDRAS","SANCHO",58,0
71,"MIÑO - SIL","CHANDREXA",61,1
72,"MIÑO - SIL","FRIEIRA",44,1
74,"MIÑO - SIL","VELLE",17,1
75,"DUERO","BURGOMILLODO",15,1
77,"DUERO","CUERDA DEL POZO",249,0
78,"DUERO","IRUEÑA",110,0
80,"TAJO","BAÑOS",41,0
89,"EBRO","GONZÁLEZ LACASA",33,0
91,"EBRO","MANSILLA",68,0
92,"EBRO","MONEVA",8,0
94,"GALICIA COSTA","CECEBRE",22,0
95,"CUENCAS INTERNAS DE CATALUÑA","RIUDECANYES",5,0
96,"GALICIA COSTA","PORTODEMOUROS",297,1
97,"CUENCAS INTERNAS DE CATALUÑA","BOADELLA",62,0
98,"EBRO","TRANQUERA, LA",84,0
100,"GUADALQUIVIR","ARENOSO",167,0
108,"GUADALQUIVIR","SIERRA BOYERA",41,0
109,"GUADALQUIVIR","ZUFRE",179,0
113,"GUADALETE-BARBATE","BARBATE",228,0
114,"GUADIANA","AGUIJÓN, EL",11,0
115,"GUADIANA","CANCHALES",26,0
117,"GUADIANA","LA SERENA",3219,0
119,"MIÑO - SIL","ALBARELLOS",91,1
120,"MIÑO - SIL","EDRADA-MAO",15,1
121,"DUERO","AGUILAR",247,0
122,"DUERO","ALDEADÁVILA",115,1
124,"DUERO","CAMPORREDONDO",70,0
126,"DUERO","CASTRO",38,1
127,"DUERO","LINARES DEL ARROYO",58,0
129,"DUERO","RICOBAYO",1200,1
133,"TAJO","NAVACERRADA",11,0
135,"TAJO","SALOR",14,0
137,"SEGURA","ANCHURICAS",8,1
138,"SEGURA","LA PEDRERA",246,0
141,"JÚCAR","REGAJO",6,0
142,"EBRO","CAMARASA",163,1
143,"EBRO","EBRO",541,0
144,"EBRO","LAS FITAS",9,0
145,"EBRO","SALLENTE",6,1
